,song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,tempo,valence
267,River,Ibeyi,0.0962,0.654,252095,0.292,0.0031,-12.977,153.547,0.111
268,You Know You Like It - Bondax Remix,AlunaGeorge,0.455,0.847,191541,0.654,0.0622,-6.443,119.998,0.624
269,Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena,0.015,0.836,229715,0.537,0.00103,-9.854,160.188,0.43
270,Mykonos (feat. Fleet Foxes),Rhythms Del Mundo,0.172,0.413,273545,0.555,0.000309,-9.699,121.976,0.542
271,So Destroyed (channeling Rage Peace),Prince Rama,0.123,0.473,153973,0.865,0.968,-6.391,100.018,0.554
272,Bitch,Allie X,0.00593,0.609,207301,0.641,0.585,-5.309,84.957,0.0844
273,Locket,Kilo Kish,0.174,0.544,181400,0.427,0.0248,-8.33,139.939,0.189
274,Apathy,Shlohmo,0.0059,0.379,325500,0.674,1.04e-05,-5.762,99.797,0.0647
275,It All Feels Right,Washed Out,0.000304,0.316,245880,0.748,0.0139,-8.187,79.337,0.239
276,Last Chance to Dance,Ekkah,0.29,0.857,222573,0.484,3.04e-06,-6.232,107.434,0.729
277,The Righteous One,The Orwells,0.00412,0.389,215560,0.884,0.172,-4.602,128.604,0.399
278,The New International Sound,GENER8ION,0.00492,0.519,282659,0.793,0.93,-9.83,164.032,0.222
279,Like Lust,MOVEMENT,0.384,0.478,281774,0.6,0.808,-11.025,143.98,0.0635
280,Rhythm of Devotion,Sisyphus,0.00978,0.706,362413,0.643,0.00955,-9.357,160.026,0.808
281,Zion Gate Dub,King Tubby,0.0621,0.736,190440,0.539,0.0312,-8.316,147.73,0.761
282,Enjoy The Silence - Remastered Version Original,Depeche Mode,0.081,0.651,253587,0.77,6.54e-05,-8.08,112.923,0.738
283,Fried Neck Bones And Some Home Fries - Dan The Automator Remix,Willie Bobo,0.0269,0.869,270520,0.658,0.299,-5.025,109.998,0.244
284,Archangel,Burial,0.428,0.624,238427,0.852,0.656,-10.184,135.223,0.517
285,"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat,0.699,0.386,328966,0.509,0.872,-12.745,129.982,0.254
286,Skyscraper,Elephant,0.22,0.234,207186,0.747,0.000176,-3.332,81.805,0.365
287,I Want You - Single Version,Marvin Gaye,0.516,0.525,216520,0.797,5e-06,-11.168,100.518,0.769
288,"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION,0.00564,0.521,208613,0.888,0.0226,-5.197,81.971,0.264
289,Suede (feat. Anderson Paak & Knxwledge),NxWorries,0.504,0.719,181459,0.697,0.0,-5.647,117.123,0.668
290,Bam Bam,Sister Nancy,0.825,0.722,196507,0.605,0.0178,-6.07,165.998,0.69
291,Alright,Logic,0.0453,0.806,218280,0.696,5.71e-06,-5.109,127.023,0.131
292,Rainy Streets,Blue In Green,0.259,0.763,156484,0.491,0.902,-8.587,93.024,0.475
293,Hazelton Trump,OB OBrien,0.00403,0.736,168451,0.68,5.49e-06,-6.438,149.902,0.601
294,Free Stress Test,Professor Murder,0.0141,0.651,256667,0.824,6.02e-06,-9.368,141.226,0.731
295,I'm Ya Dogg,Snoop Dogg,0.127,0.479,278147,0.609,0.0,-8.678,107.699,0.522
296,Hot Dreams,Timber Timbre,0.379,0.535,293213,0.374,0.0464,-8.83,121.93,0.339
297,The Hills,The Weeknd,0.0861,0.356,242253,0.567,0.0,-7.011,135.553,0.116
298,"When They Fight, They Fight",Generationals,0.26,0.753,200213,0.9,0.000102,-1.866,119.72,0.967
299,The River,Son Little,0.032,0.694,273949,0.789,0.00129,-5.201,109.014,0.549
300,Rill Rill,Sleigh Bells,0.0356,0.483,229893,0.804,1.6e-06,-3.452,73.048,0.803
301,Awake,Santé,0.0453,0.878,372096,0.43,0.751,-8.445,119.999,0.138
302,Johnny Was,Bob Marley & The Wailers,0.19,0.703,228040,0.412,5.26e-06,-9.827,152.219,0.815
303,Monster Mash,"Bobby ""Boris"" Pickett",0.407,0.688,192040,0.488,0.0,-14.195,69.77,0.708
304,Night on Bald Mountain,Modest Mussorgsky,0.854,0.316,659560,0.308,0.888,-15.944,103.459,0.0933
305,Feel The Volume,Jauz,0.153,0.725,230400,0.918,0.0328,-4.912,125.009,0.191
306,Water Me (feat. Leon Ware),Theophilus London,0.321,0.749,308947,0.422,0.155,-11.004,98.82,0.587
307,Kathy Lee,Jessy Lanza,0.00079,0.771,248991,0.248,0.1,-20.815,139.937,0.281
308,Love Buzz,Shocking Blue,0.0259,0.69,225533,0.548,0.00243,-9.587,121.509,0.693
309,Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah,0.058,0.648,201848,0.887,0.0,-4.536,102.128,0.464
310,Auditorium,Mos Def,0.0498,0.403,274480,0.742,0.0,-5.889,90.336,0.734
311,Disco Devil,"Lee ""Scratch"" Perry",0.0803,0.664,472013,0.727,0.000253,-8.738,77.92,0.527
312,Frontier Psychiatrist,The Avalanches,0.118,0.704,288347,0.894,0.000115,-7.415,98.946,0.408
313,Had Ten Dollaz,Cherry Glazerr,0.00189,0.554,252140,0.749,0.39,-7.365,168.045,0.824
314,Sometimes,Heems,0.0174,0.446,241800,0.752,0.0,-6.088,96.318,0.585
315,VHS Sex,Com Truise,0.124,0.612,265133,0.628,0.85,-7.82,172.176,0.373
316,Ambling Alp,Yeasayer,0.00838,0.587,235440,0.866,3.55e-05,-6.444,107.986,0.42
317,All Day And All Of The Night,The Kinks,0.429,0.551,141493,0.952,0.000686,-4.886,136.958,0.628
318,Strychnine,The Sonics,0.419,0.331,133093,0.957,0.0,-6.101,143.299,0.561
319,Who Is He (And What Is He to You?),Bill Withers,0.106,0.912,194040,0.317,0.000208,-12.719,99.346,0.949
320,Acamar,Frankey,0.0211,0.697,236456,0.905,0.893,-7.787,119.977,0.311
321,It Looks Like Love,Goody Goody,0.00799,0.883,382015,0.333,0.804,-17.848,121.099,0.964
322,Freak Connection - Edit,Cerrone,0.00236,0.733,232375,0.87,0.00102,-6.199,118.449,0.657
323,"I'll Be Good - 12"" Mix",Rene & Angela,0.0602,0.803,446307,0.579,0.000627,-11.156,108.567,0.726
324,Here I Come (Broader Than Broadway),Barrington Levy,0.219,0.698,223191,0.515,0.0,-13.029,85.023,0.712
325,Swords,M.I.A.,0.0138,0.677,144280,0.905,0.0,-4.597,89.988,0.742
326,Hands On The Wheel,ScHoolboy Q,0.0169,0.648,197800,0.862,0.0,-4.527,127.857,0.176
327,Kush High,Eighty4 Fly,0.315,0.65,190734,0.448,0.0,-9.979,85.045,0.193
328,Métele,Buscabulla,0.518,0.672,248372,0.527,0.26,-12.702,87.996,0.356
329,What I Might Do,Ben Pearce,0.0567,0.838,194828,0.537,0.799,-11.689,121.986,0.357
330,Atomic Bomb,William Onyeabor,0.0286,0.76,479547,0.391,0.00691,-8.73,116.873,0.965
331,World Restart,Kindness,0.00909,0.646,279200,0.621,0.000124,-11.358,90.986,0.408
332,Swingin' Party,Kindness,0.0445,0.808,237853,0.687,0.3,-8.668,109.953,0.458
333,Antidote,Travis Scott,0.119,0.716,263817,0.647,1.38e-05,-4.008,131.04,0.159
334,Pieces,Tanlines,0.0111,0.846,233387,0.501,0.00257,-6.076,118.001,0.825
335,Zombie,Fela Kuti,0.388,0.704,745653,0.942,0.0147,-5.115,131.69,0.584
336,Time-Out,Terror Train,2.84e-06,0.305,97560,0.827,0.00245,-5.789,159.882,0.463
337,Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang,0.0115,0.82,349720,0.616,0.445,-8.427,127.86,0.972
338,I'm a Dildo,No Parents,0.136,0.185,105858,0.89,0.0,-4.182,163.315,0.322
339,Do It (High School Dropout),Tayyib Ali,0.00328,0.562,238457,0.801,0.0,-3.069,169.988,0.634
340,Cadillac Girl,Only Real,0.376,0.565,217648,0.86,0.000121,-5.449,95.019,0.782
341,Today,Tom Scott,0.196,0.464,199053,0.772,0.0088,-5.046,107.651,0.627
342,"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude,0.248,0.576,235187,0.602,0.000609,-6.591,141.345,0.57
343,I Choose You,Willie Hutch,0.0686,0.388,220467,0.598,0.0,-9.485,154.78,0.641
344,The Way You’d Love Her,Mac Demarco,0.602,0.637,156430,0.498,0.119,-9.367,92.227,0.931
345,Shooting Stars,Bag Raiders,0.0893,0.636,235813,0.72,0.0178,-6.195,124.944,0.444
346,Bloom - Lane 8 Remix,ODESZA,0.000141,0.688,324437,0.587,0.92,-8.521,125.012,0.757
347,Pacifier,Young Thug,0.0469,0.766,237867,0.82,0.0,-5.851,117.012,0.401
348,Powerful,Major Lazer,0.133,0.402,206920,0.794,0.0,-3.982,195.058,0.706
349,Unbreakable,Janet Jackson,0.157,0.599,218342,0.524,0.0,-8.036,83.013,0.44
350,It's Strange (feat. K.Flay),Louis The Child,0.371,0.837,245581,0.492,0.0401,-7.792,85.951,0.407
351,Make Them Gold,CHVRCHES,0.0124,0.612,231765,0.858,0.0,-5.437,145.306,0.451
352,Don't Mean A Thing,Lapalux,0.19,0.63,348742,0.671,0.753,-7.727,96.478,0.142
353,White Lies - The Soundmen Remix,Max Frost,0.0953,0.614,237073,0.858,0.0559,-7.068,164.025,0.477
354,Sophia So Far,Goodnight Radio,0.27,0.446,259765,0.89,0.661,-7.974,170.002,0.503
355,Nimble Girl,Hotel Eden,0.0846,0.481,263187,0.851,0.907,-4.528,174.144,0.852
356,Grinder,Gary Clark Jr.,0.00855,0.293,202160,0.792,0.0111,-3.747,161.933,0.696
357,Choices (Yup),E-40,0.128,0.889,272720,0.597,0.0004,-7.301,119.999,0.261
358,Two Brothers,Hanni El Khatib,0.088,0.673,347613,0.857,0.0108,-7.493,109.99,0.457
359,Walkabout (W/ Noah Lennox),Atlas Sound,0.0406,0.536,238893,0.922,8.92e-05,-6.247,121.977,0.368
360,Ferus Gallery,Allah-Las,0.0377,0.575,215973,0.691,0.563,-7.595,131.588,0.718
361,Everybody Loves The Sunshine,Roy Ayers Ubiquity,0.021,0.571,237680,0.719,0.0,-7.206,80.694,0.538
362,Number One,Tuxedo,0.0466,0.784,252663,0.803,1.57e-05,-3.458,111.044,0.79
363,Sick Beat,Kero Kero Bonito,0.16,0.746,179091,0.682,0.0,-6.353,98.977,0.836
364,She a Go (feat. Spinn & Taso),DJ Rashad,0.00266,0.444,217733,0.498,0.0299,-7.631,119.914,0.294
365,Lost You,Zeds Dead,0.0833,0.736,218312,0.882,0.000349,-4.285,126.012,0.512
366,Norf Norf,Vince Staples,0.445,0.915,183159,0.54,3.63e-05,-6.578,100.039,0.113
367,Eleven 11: / 11,Rob Curly,0.304,0.75,229588,0.835,0.0,-7.882,127.026,0.504
368,Buffalo,Toro y Moi,0.109,0.632,197963,0.519,0.0,-7.207,99.999,0.602
369,Talk About,Les Sins,0.0152,0.814,234640,0.83,0.36,-5.766,124.998,0.287
370,Probably Nu It,Tree,0.273,0.893,142012,0.378,0.0,-7.324,119.969,0.642
371,Mamacita,Travis Scott,0.0146,0.823,274320,0.768,1.03e-06,-6.21,115.021,0.207
372,Star,Gary Clark Jr.,0.0573,0.639,284080,0.749,0.0294,-5.916,84.452,0.553
373,Gooey,Glass Animals,0.726,0.49,289307,0.376,2.54e-05,-13.463,182.969,0.107
374,Walk On By - Single Version,Isaac Hayes,0.0487,0.289,273000,0.523,0.000293,-9.531,145.556,0.366
375,Omen - Radio Edit,Disclosure,0.111,0.615,196817,0.781,0.0,-4.838,105.967,0.664
376,Champagne Coast,Blood Orange,0.0207,0.808,292373,0.41,0.364,-12.428,122.663,0.752
377,Running Back To You,The Juan Maclean,0.102,0.775,423747,0.528,0.582,-7.756,94.967,0.961
378,BKNY,Fat Tony,0.00757,0.393,261187,0.838,0.145,-3.815,142.019,0.474
379,Pains,Silk Rhodes,0.01,0.449,191425,0.416,0.122,-5.571,140.804,0.118
380,Night Drive,Part Time,2.24e-05,0.595,224094,0.549,0.835,-10.41,122.199,0.131
381,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,0.038,0.728,176675,0.62,0.0,-7.533,81.998,0.904
382,Indian Food,Dumbo Gets Mad,0.765,0.561,213786,0.896,0.685,-4.903,86.808,0.654
383,Childs Play (feat. Chance the Rapper),SZA,0.775,0.758,216234,0.343,0.0,-9.044,99.995,0.218
384,Lets Start the Dance,Bohannon,0.000429,0.782,351707,0.938,0.121,-8.692,118.086,0.872
385,Rollerskate,Matias Aguayo,0.323,0.839,369067,0.48,0.0505,-12.223,120.973,0.45
386,Outro,M83,0.0301,0.226,247027,0.261,0.0677,-11.276,108.915,0.0795
387,Grindin’ My Whole Life,HS87,0.268,0.763,322093,0.623,4.37e-06,-6.128,115.032,0.369
388,Slyd,!!!,0.0626,0.858,254920,0.717,0.243,-8.734,120.004,0.593
389,The Moment,Tame Impala,0.000239,0.329,255413,0.814,0.0944,-6.005,120.462,0.403
390,R.I.C.O. (feat. Drake),Meek Mill,0.317,0.727,197133,0.599,0.0,-6.941,167.909,0.381
391,Black And White,Parquet Courts,0.00605,0.318,182987,0.975,0.832,-4.211,174.205,0.683
392,Never Never Gonna Give Ya Up,Barry White,0.0818,0.61,290667,0.791,0.0,-10.918,85.338,0.938
393,Wait & See,Holy Ghost!,0.0021,0.646,219754,0.892,0.00626,-5.015,119.998,0.935
394,Wait for a Minute,tUnE-yArDs,0.016,0.79,233813,0.616,0.13,-7.081,111.038,0.373
395,5ft7,Tonstartssbandht,0.0385,0.484,205500,0.492,0.66,-9.297,76.467,0.193
396,200 Press,James Blake,0.304,0.785,373243,0.573,0.403,-9.082,126.465,0.626
397,Huarache Lights,Hot Chip,0.113,0.715,329169,0.64,0.0418,-7.168,113.507,0.398
398,Leave House,Caribou,0.0414,0.811,312360,0.635,0.142,-8.394,137.595,0.752
399,"Sweet Power, Your Embrace",James Mason,0.704,0.597,318261,0.721,0.0119,-9.433,110.761,0.854
400,Hunger Of The Pine,alt-J,0.785,0.6,299711,0.413,0.0289,-9.572,93.618,0.0768
401,Money Money,Horace Andy,0.629,0.811,141000,0.461,1.4e-05,-10.829,75.286,0.72
402,Symptom - Original Mix,Deapmash,0.0167,0.797,211882,0.961,0.919,-8.083,128.015,0.355
403,I'll Do a Little Bit More,The Olympics,0.391,0.799,157068,0.657,3.16e-06,-5.293,141.655,0.956
404,Who Is He And What Is He To You,Creative Source,0.0301,0.769,703107,0.514,0.016,-14.157,119.674,0.719
405,Bustin' Loose,Chuck Brown and the Soul Searchers,0.27,0.865,462467,0.896,0.0488,-7.031,111.457,0.939
406,I Wish,Stevie Wonder,0.107,0.826,253747,0.751,7.71e-05,-9.621,105.909,0.919
407,Baby,Donnie & Joe Emerson,0.96,0.508,250533,0.325,0.00259,-11.627,92.187,0.271
408,More Bounce To The Ounce,Zapp,0.124,0.85,311120,0.818,0.00135,-8.623,105.266,0.845
409,Outlaw,War,0.0245,0.819,302000,0.684,0.358,-6.97,130.268,0.84
410,Walking Into Sunshine,Central Line,0.0194,0.896,474040,0.482,0.033,-8.35,112.0,0.847
411,Pyramids,Frank Ocean,0.0129,0.401,592920,0.661,7.72e-05,-6.111,107.998,0.173
412,Lazuli,Beach House,0.0106,0.346,301867,0.808,0.685,-5.791,219.331,0.711
413,Oblivion,Grimes,0.115,0.697,251267,0.529,0.901,-8.838,155.974,0.483
414,Obedear,Purity Ring,0.195,0.605,209573,0.732,0.0135,-5.643,195.978,0.136
415,Flutes,Hot Chip,0.034,0.691,425320,0.71,0.00225,-6.351,118.006,0.334
416,Club Rez,Girl Unit,0.0079,0.428,316444,0.74,0.935,-10.026,134.981,0.0576
417,Cry Like A Ghost,Passion Pit,0.00525,0.555,263213,0.612,0.0,-7.841,100.036,0.319
418,Chained,The xx,0.482,0.732,167547,0.468,0.809,-13.662,118.994,0.191
419,Disparate Youth,Santigold,0.0124,0.633,284925,0.926,0.689,-4.056,152.032,0.512
420,Cheap Beer,FIDLAR,0.000199,0.284,141813,0.961,0.0,-3.993,186.287,0.199
421,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,0.119,0.68,313787,0.489,2.86e-05,-7.837,74.04,0.261
422,Origins,Tennis,0.0463,0.578,208139,0.825,0.0201,-4.659,113.907,0.959
423,Affection,Crystal Castles,0.0602,0.658,156707,0.835,0.00781,-7.165,124.654,0.568
424,Comeback Kid,Sleigh Bells,0.00914,0.385,180493,0.902,0.522,-5.464,159.939,0.52
425,Losing You,Solange,0.0555,0.735,260400,0.798,0.0627,-6.175,113.997,0.469
426,Grown Up,Danny Brown,0.132,0.635,139931,0.766,0.0,-6.449,93.603,0.675
427,"It's Not My Fault, I'm Happy",Passion Pit,0.0101,0.569,305680,0.857,0.0145,-5.571,104.981,0.291
428,How Deep Is Your Love?,The Rapture,0.000613,0.469,387640,0.823,0.000829,-3.948,122.316,0.138
429,Are you... Can you... Were you? (Felt),Shabazz Palaces,0.0571,0.502,287827,0.632,0.054,-9.971,82.738,0.207
430,Second Song,TV On The Radio,0.0212,0.597,260467,0.798,0.473,-5.307,99.999,0.383
431,Mornin',Star Slinger,0.459,0.673,132049,0.764,0.000237,-5.482,182.13,0.551
432,Before,Washed Out,0.198,0.507,286413,0.739,0.865,-9.728,87.569,0.17
433,Midnight City,M83,0.0198,0.517,245013,0.491,1.31e-06,-13.742,104.996,0.331
434,Lonely Boy,The Black Keys,0.00417,0.356,193653,0.872,0.00975,-7.837,166.3,0.592
435,Caffeinated Consciousness,TV On The Radio,0.00529,0.563,200600,0.924,0.883,-3.909,94.057,0.6
436,Wild Window,Fool's Gold,0.0039,0.567,176893,0.876,0.0,-4.573,114.902,0.697
437,Polish Girl,Neon Indian,0.00501,0.633,264000,0.884,1.93e-05,-4.158,111.98,0.455
438,Calgary,Bon Iver,0.929,0.445,250200,0.461,0.167,-11.488,119.951,0.091
439,Civilization,Justice,0.00145,0.575,250826,0.625,0.0,-5.296,111.984,0.295
440,Headlines,Drake,0.369,0.662,236733,0.571,0.000197,-7.382,152.009,0.442
441,Michael Jackson,Das Racist,0.00096,0.573,256800,0.946,0.00191,-5.065,151.817,0.769
442,Need You Now,Cut Copy,0.0244,0.605,369387,0.755,0.586,-5.169,122.3,0.367
443,Abducted,Cults,0.00632,0.374,172960,0.937,0.0207,-3.882,149.812,0.337
444,Gucci Gucci,Kreayshawn,0.158,0.714,187293,0.924,1.29e-05,-2.91,77.516,0.897
445,Eyes Be Closed,Washed Out,0.00441,0.207,287667,0.878,0.421,-7.212,89.969,0.135
446,Echoes,Washed Out,0.0729,0.589,248200,0.938,0.942,-10.475,120.007,0.556
447,The Daily Mail,Radiohead,0.652,0.36,217798,0.362,0.000128,-7.102,116.846,0.144
448,Civilization,Justice,0.00091,0.516,251011,0.66,0.0,-5.002,112.065,0.238
449,Punch Drunk Love,Teams vs. Star Slinger,0.126,0.579,212227,0.767,3.28e-05,-3.713,144.001,0.67
450,Principles,Benoit & Sergio,0.0184,0.845,415371,0.59,0.00581,-8.225,126.024,0.346
451,Slow Peels,Com Truise,0.0914,0.568,277335,0.662,0.459,-10.651,173.937,0.452
452,Dead Wrong,Hanni El Khatib,0.154,0.716,208027,0.724,0.000309,-8.06,137.131,0.698
453,Do It Roger,Zapp,0.386,0.791,317467,0.729,0.0126,-9.856,108.274,0.717
454,Pharaohs (feat. Roses Gabor),SBTRKT,0.00983,0.795,218147,0.578,0.743,-8.507,127.014,0.639
455,No Fun,The Stooges,0.00215,0.584,318373,0.761,0.0217,-5.056,122.494,0.722
456,Computer Love,Zapp,0.676,0.679,282308,0.709,0.0,-5.851,84.543,0.677
457,Dutchie Courage,Star Slinger,0.0693,0.646,180036,0.947,0.0,-2.762,164.111,0.957
458,Osaka Loop Line,Discovery,0.0961,0.704,241733,0.49,0.000114,-6.667,155.909,0.646
459,White Horse,Laid Back,0.00254,0.812,237320,0.554,0.698,-10.978,123.289,0.786
460,Abataka - Original Mix,Ida Engberg,0.394,0.76,520133,0.971,0.775,-4.582,125.439,0.992
461,Danger! High Voltage (Soulchild Radio Mix),Electric Six,2.15e-05,0.657,214600,0.699,0.153,-4.718,123.017,0.531
462,Say Please,Teams vs. Star Slinger,0.185,0.731,207496,0.812,0.154,-6.691,91.96,0.861
463,You Don't Love Me (No No No),Dawn Penn,0.00649,0.805,213280,0.596,0.00772,-6.007,81.004,0.753
464,The Yes Strut,Teams vs. Star Slinger,0.00947,0.718,171933,0.844,0.711,-8.045,94.988,0.54
465,86 Carrot Gold,Teams vs. Star Slinger,0.0507,0.597,183798,0.746,0.000198,-7.991,172.215,0.891
466,Close to Me,Teams vs. Star Slinger,0.738,0.698,101039,0.923,8.21e-06,-5.382,95.009,0.779
467,How Do You See Me Now,Zdar,0.000419,0.823,259680,0.811,0.0745,-6.158,104.63,0.718
468,See Me Now,Cassius,0.00176,0.819,231747,0.777,0.0931,-7.734,104.651,0.769
469,Every Freakin' - DJ Ayres remix,DJ Eleven,0.02,0.671,200754,0.781,0.0,-5.363,134.02,0.684
470,Dance Our Way,DJ Eleven,0.00402,0.872,198101,0.565,0.237,-10.236,125.992,0.885
471,Flashing Lights,DJ Ayres,0.00241,0.85,205663,0.664,0.0672,-9.141,126.018,0.584
472,The Daily Mail,Radiohead,0.652,0.36,217798,0.362,0.000128,-7.102,116.845,0.144
473,Bizness,tUnE-yArDs,0.196,0.76,263733,0.76,0.00185,-5.964,111.01,0.616
474,Long Heels Red Bottoms,Trina,0.0305,0.874,217783,0.492,0.0,-4.898,64.992,0.644
475,I Wanna Be Your Dog,The Stooges,0.0229,0.527,188560,0.871,0.155,-8.708,120.722,0.12
476,Jealousy,Martin Solveig,0.000963,0.767,317320,0.712,0.00275,-7.28,125.025,0.947
477,Embody,Sebastian,0.233,0.328,225627,0.827,0.00517,-2.545,103.127,0.709
478,Love In Motion - feat. Mayer Hawthorne,Sebastian,0.0175,0.702,185840,0.773,0.00165,-3.741,100.006,0.484
479,Save the World,Swedish House Mafia,0.00314,0.654,410897,0.734,0.000249,-6.216,126.995,0.243
480,Myth,Beach House,0.0369,0.448,258653,0.733,0.0425,-6.238,142.008,0.404
481,Ready 2 Go,Martin Solveig,0.0152,0.542,265480,0.854,0.0,-5.041,128.041,0.262
482,We Are Young - The Popopopops Remix,Juveniles,0.00206,0.469,235301,0.821,0.00914,-5.055,173.964,0.226
483,Bop Gun (One Nation) - Radio Edit,Ice Cube,0.429,0.857,287200,0.889,5.21e-06,-4.382,103.072,0.82
484,La Funky,Destructo feat. Oliver,0.000407,0.796,279952,0.774,0.812,-4.833,124.989,0.327
485,In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,0.0401,0.67,400742,0.897,0.0021,-5.19,127.994,0.294
486,On'n'On - Ruined by Rick Rubin,Justice,0.000299,0.697,238206,0.68,0.00674,-6.847,98.002,0.288
487,Don't Die,Killer Mike,0.0193,0.352,248133,0.807,6.04e-06,-7.781,90.772,0.0459
488,Van Vogue,Azealia Banks,0.122,0.687,357280,0.799,0.0011,-9.181,128.001,0.0397
489,How Do You Do?,Hot Chip,0.0998,0.666,285320,0.811,0.0614,-5.079,124.954,0.955
490,Night And Day,Hot Chip,0.0285,0.764,270680,0.768,0.0235,-5.614,125.988,0.627
491,Don't Deny Your Heart,Hot Chip,0.0132,0.677,271480,0.86,0.0119,-5.074,121.989,0.793
492,Focused - feat. Kid Cudi,Wale,0.275,0.735,212333,0.801,0.0,-5.067,123.094,0.491
493,Neptune,Lemonade,0.000483,0.286,242653,0.694,0.00252,-7.481,169.904,0.411
494,"Function - feat. YG, IAmSu & Problem",E-40,0.00138,0.881,259200,0.564,0.0,-5.239,100.032,0.36
495,Didn't You,Cloud Nothings,0.0086,0.246,237947,0.843,0.241,-10.022,80.047,0.681
496,Search Party,Small Black,0.000248,0.515,172520,0.876,0.156,-5.448,105.128,0.707
497,Mi Swing es Tropical,Nickodemus,0.0227,0.816,222920,0.894,7.23e-05,-9.243,99.995,0.968
498,Stock Exchange,Miss Kittin,0.00569,0.715,346773,0.518,0.772,-11.0,129.87,0.923
499,Changes,Crazy P,0.0365,0.829,336906,0.637,0.0233,-9.481,120.761,0.688
500,Play This (Also),J Rocc,0.289,0.444,346360,0.978,0.778,-6.238,125.371,0.463
501,Obedear,Purity Ring,0.232,0.612,212944,0.725,0.011,-5.775,195.972,0.153
502,Slow Down,Poolside,0.0989,0.7,285211,0.718,0.0609,-5.882,81.997,0.343
503,I Don't Like,Chief Keef,0.000869,0.754,295867,0.877,0.0,-3.486,132.033,0.557
504,Sleeping Ute,Grizzly Bear,0.148,0.327,275286,0.654,0.00442,-6.258,102.532,0.262
505,Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q,0.0173,0.646,197132,0.778,0.0,-7.44,127.813,0.173
506,The Kids Were Wrong,Memoryhouse,0.00991,0.486,252707,0.526,0.158,-9.041,75.461,0.726
507,Walk With Me,Memoryhouse,0.473,0.551,283373,0.504,0.664,-11.166,115.998,0.137
508,Her Fantasy,Matthew Dear,0.0246,0.586,374133,0.806,0.000167,-9.542,110.325,0.207
509,Der Kommissar,After The Fire,0.00909,0.694,337187,0.716,0.000814,-7.468,121.427,0.896
510,Slow Down,Clyde Carson,0.122,0.817,220987,0.528,0.0,-6.551,100.997,0.161
511,Genesis,Grimes,0.0764,0.611,255320,0.677,0.0698,-6.745,166.04,0.233
512,About to Die,Dirty Projectors,0.419,0.727,239360,0.657,0.0,-5.307,82.553,0.794
513,Best Night,The War On Drugs,0.229,0.485,330920,0.793,0.784,-8.693,131.951,0.295
514,Brothers,The War On Drugs,0.0413,0.52,269000,0.872,0.725,-8.104,111.958,0.524
515,We Own The Sky,M83,0.000105,0.399,304907,0.761,0.0456,-6.318,140.084,0.244
516,Chicken Half,Sugarman Three,0.52,0.582,212602,0.903,0.779,-4.505,119.457,0.902
517,Two Of Hearts,Stacey Q,0.0833,0.852,237533,0.523,0.0,-6.716,130.154,0.648
518,The Perfect Kiss,New Order,0.0156,0.623,289640,0.806,0.0769,-8.533,130.049,0.847
519,Can I Kick It?,A Tribe Called Quest,0.145,0.844,265400,0.688,0.00351,-8.594,96.671,0.747
520,Sure Thing,Miguel,0.0275,0.684,195373,0.603,0.000311,-8.127,81.0,0.508
521,Kim & Jessie,M83,0.000103,0.498,322933,0.553,0.528,-6.193,111.015,0.228
522,Outro,M83,0.0329,0.162,247027,0.254,0.122,-11.251,108.943,0.0778
523,We Are the People,Empire of the Sun,0.0842,0.671,272175,0.784,0.0121,-5.514,122.995,0.545
524,Look At Where We Are,Hot Chip,0.597,0.792,239427,0.387,0.000106,-8.192,136.996,0.677
525,Don't Owe You a Thang,Gary Clark Jr.,0.0801,0.417,213853,0.944,0.00141,-5.192,109.721,0.376
526,Money Trees,Kendrick Lamar,0.0726,0.739,386907,0.526,0.0,-7.384,143.948,0.374
527,Hood Pass Intact feat. MC Eiht,Dâm-Funk,0.203,0.791,286213,0.916,0.0,-2.009,103.709,0.62
528,Got No Money,FIDLAR,0.00341,0.491,128187,0.935,0.348,-4.22,157.993,0.964
529,Birthday Song,2 Chainz,0.0581,0.748,306600,0.586,0.0,-2.554,140.067,0.162
530,Oh,FIDLAR,7.79e-05,0.351,141305,0.931,0.129,-5.746,126.394,0.604
531,No Waves,FIDLAR,0.001,0.48,139560,0.964,0.000273,-3.681,98.496,0.579
532,Wake Bake Skate,FIDLAR,3.41e-05,0.123,99413,0.963,0.0329,-4.182,198.04,0.68
533,No Ass,FIDLAR,0.00814,0.401,93267,0.972,0.878,-2.236,152.839,0.405
534,Black Out Stout,FIDLAR,0.00023,0.228,182600,0.886,0.848,-3.87,165.201,0.499
535,Plague,Crystal Castles,0.0214,0.465,295880,0.633,0.79,-9.493,130.074,0.0451
